Alert,Description,MITRE tactics,Severity,Alert Family,Alert Type ()
Detected file download from a known malicious source,Analysis of processes running within a container or directly on a Kubernetes node  has detected a download of a file from a source frequently used to distribute malware.,PrivilegeEscalation  Execution  Exfiltration  Command And Control,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_SuspectDownload)
Detected suspicious file download,Analysis of processes running within a container or directly on a Kubernetes node  has detected a suspicious download of a remote file.,Persistence,Low,Alerts for containers - Kubernetes clusters,(K8S.NODE_SuspectDownloadArtifacts)
Detected suspicious use of the nohup command,Analysis of processes running within a container or directly on a Kubernetes node  has detected a suspicious use of the nohup command. Attackers have been seen using the command nohup to run hidden files from a temporary directory to allow their executables to run in the background. It’s rare to see this command run on hidden files located in a temporary directory.,Persistence  DefenseEvasion,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_SuspectNohup)
Detected suspicious use of the useradd command,Analysis of processes running within a container or directly on a Kubernetes node  has detected a suspicious use of the useradd command.,Persistence,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_SuspectUserAddition)
Digital currency mining container detected,Kubernetes audit log analysis detected a container that has an image associated with a digital currency mining tool.,Execution,High,Alerts for containers - Kubernetes clusters,(K8S_MaliciousContainerImage)
Digital currency mining related behavior detected,Analysis of processes running within a container or directly on a Kubernetes node  has detected an execution of a process or command normally associated with digital currency mining.,Execution,High,Alerts for containers - Kubernetes clusters,(K8S.NODE_DigitalCurrencyMining)
Docker build operation detected on a Kubernetes node,Analysis of processes running within a container or directly on a Kubernetes node  has detected a build operation of a container image on a Kubernetes node. While this behavior might be legitimate  attackers might build their malicious images locally to avoid detection.,DefenseEvasion,Low,Alerts for containers - Kubernetes clusters,(K8S.NODE_ImageBuildOnNode)
Excessive role permissions assigned in Kubernetes cluster (Preview),Analysis of the Kubernetes audit logs detected an excessive permissions role assignment to your cluster. The listed permissions for the assigned roles are uncommon to the specific service account. This detection considers previous role assignments to the same service account across clusters monitored by Azure  volume per permission  and the impact of the specific permission. The anomaly detection model used for this alert takes into account how this permission is used across all clusters monitored by Microsoft Defender for Cloud.,Privilege Escalation,Low,Alerts for containers - Kubernetes clusters,(K8S_ServiceAcountPermissionAnomaly)
Executable found running from a suspicious location (Preview),Analysis of processes running within a container or directly on a Kubernetes node  has detected an executable file that is running from a location associated with known suspicious files. This executable could either be legitimate activity  or an indication of a compromised system.,Execution,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_SuspectExecutablePath)
Exposed Kubeflow dashboard detected,The Kubernetes audit log analysis detected exposure of the Istio Ingress by a load balancer in a cluster that runs Kubeflow. This action might expose the Kubeflow dashboard to the internet. If the dashboard is exposed to the internet  attackers can access it and run malicious containers or code on the cluster. Find more details in the following article: https://aka.ms/exposedkubeflow-blog,Initial Access,Medium,Alerts for containers - Kubernetes clusters,(K8S_ExposedKubeflow)
Exposed Kubernetes dashboard detected,Kubernetes audit log analysis detected exposure of the Kubernetes Dashboard by a LoadBalancer service. Exposed dashboard allows an unauthenticated access to the cluster management and poses a security threat.,Initial Access,High,Alerts for containers - Kubernetes clusters,(K8S_ExposedDashboard)
Exposed Kubernetes service detected,The Kubernetes audit log analysis detected exposure of a service by a load balancer. This service is related to a sensitive application that allows high impact operations in the cluster such as running processes on the node or creating new containers. In some cases  this service doesn’t require authentication. If the service doesn’t require authentication  exposing it to the internet poses a security risk.,Initial Access,Medium,Alerts for containers - Kubernetes clusters,(K8S_ExposedService)
Exposed Redis service in AKS detected,The Kubernetes audit log analysis detected exposure of a Redis service by a load balancer. If the service doesn’t require authentication  exposing it to the internet poses a security risk.,Initial Access,Low,Alerts for containers - Kubernetes clusters,(K8S_ExposedRedis)
Indicators associated with DDOS toolkit detected,Analysis of processes running within a container or directly on a Kubernetes node  has detected file names that are part of a toolkit associated with malware capable of launching DDoS attacks  opening ports and services  and taking full control over the infected system. This could also possibly be legitimate activity.,Persistence  LateralMovement  Execution  Exploitation,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_KnownLinuxDDoSToolkit)
K8S API requests from proxy IP address detected,Kubernetes audit log analysis detected API requests to your cluster from an IP address that is associated with proxy services  such as TOR. While this behavior can be legitimate  it’s often seen in malicious activities  when attackers try to hide their source IP.,Execution,Low,Alerts for containers - Kubernetes clusters,(K8S_TI_Proxy)
Kubernetes events deleted,Defender for Cloud detected that some Kubernetes events have been deleted. Kubernetes events are objects in Kubernetes that contain information about changes in the cluster. Attackers might delete those events for hiding their operations in the cluster.,Defense Evasion,Low,Alerts for containers - Kubernetes clusters,(K8S_DeleteEvents)
Kubernetes penetration testing tool detected,Kubernetes audit log analysis detected usage of Kubernetes penetration testing tool in the AKS cluster. While this behavior can be legitimate  attackers might use such public tools for malicious purposes.,Execution,Low,Alerts for containers - Kubernetes clusters,(K8S_PenTestToolsKubeHunter)
Manipulation of host firewall detected,Analysis of processes running within a container or directly on a Kubernetes node  has detected a possible manipulation of the on-host firewall. Attackers will often disable this to exfiltrate data.,DefenseEvasion  Exfiltration,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_FirewallDisabled)
Microsoft Defender for Cloud test alert (not a threat).,This is a test alert generated by Microsoft Defender for Cloud. No further action is needed.,Execution,High,Alerts for containers - Kubernetes clusters,(K8S.NODE_EICAR)
New container in the kube-system namespace detected,Kubernetes audit log analysis detected a new container in the kube-system namespace that isn’t among the containers that normally run in this namespace. The kube-system namespaces shouldn’t contain user resources. Attackers can use this namespace for hiding malicious components.,Persistence,Low,Alerts for containers - Kubernetes clusters,(K8S_KubeSystemContainer)
New high privileges role detected,Kubernetes audit log analysis detected a new role with high privileges. A binding to a role with high privileges gives the user\group high privileges in the cluster. Unnecessary privileges might cause privilege escalation in the cluster.,Persistence,Low,Alerts for containers - Kubernetes clusters,(K8S_HighPrivilegesRole)
Possible attack tool detected,Analysis of processes running within a container or directly on a Kubernetes node  has detected a suspicious tool invocation. This tool is often associated with malicious users attacking others.,Execution  Collection  Command And Control  Probing,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_KnownLinuxAttackTool)
Possible backdoor detected,Analysis of processes running within a container or directly on a Kubernetes node  has detected a suspicious file being downloaded and run. This activity has previously been associated with installation of a backdoor.,Persistence  DefenseEvasion  Execution  Exploitation,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_LinuxBackdoorArtifact)
Possible command line exploitation attempt,Analysis of processes running within a container or directly on a Kubernetes node  has detected a possible exploitation attempt against a known vulnerability.,Exploitation,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_ExploitAttempt)
Possible credential access tool detected,Analysis of processes running within a container or directly on a Kubernetes node  has detected a possible known credential access tool was running on the container  as identified by the specified process and commandline history item. This tool is often associated with attacker attempts to access credentials.,CredentialAccess,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_KnownLinuxCredentialAccessTool)
Possible Cryptocoinminer download detected,Analysis of processes running within a container or directly on a Kubernetes node  has detected download of a file normally associated with digital currency mining.,DefenseEvasion  Command And Control  Exploitation,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_CryptoCoinMinerDownload)
Possible data exfiltration detected,Analysis of processes running within a container or directly on a Kubernetes node  has detected a possible data egress condition. Attackers will often egress data from machines they have compromised.,Collection  Exfiltration,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_DataEgressArtifacts)
Possible Log Tampering Activity Detected,Analysis of processes running within a container or directly on a Kubernetes node  has detected a possible removal of files that tracks user’s activity during the course of its operation. Attackers often try to evade detection and leave no trace of malicious activities by deleting such log files.,DefenseEvasion,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_SystemLogRemoval)
Possible password change using crypt-method detected,Analysis of processes running within a container or directly on a Kubernetes node  has detected a password change using the crypt method. Attackers can make this change to continue access and gain persistence after compromise.,CredentialAccess,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_SuspectPasswordChange)
Potential port forwarding to external IP address,Analysis of processes running within a container or directly on a Kubernetes node  has detected an initiation of port forwarding to an external IP address.,Exfiltration  Command And Control,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_SuspectPortForwarding)
Potential reverse shell detected,Analysis of processes running within a container or directly on a Kubernetes node  has detected a potential reverse shell. These are used to get a compromised machine to call back into a machine an attacker owns.,Exfiltration  Exploitation,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_ReverseShell)
Privileged container detected,Kubernetes audit log analysis detected a new privileged container. A privileged container has access to the node’s resources and breaks the isolation between containers. If compromised  an attacker can use the privileged container to gain access to the node.,Privilege Escalation,Low,Alerts for containers - Kubernetes clusters,(K8S_PrivilegedContainer)
Process associated with digital currency mining detected,Analysis of processes running within a container detected the execution of a process normally associated with digital currency mining.,Execution  Exploitation,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_CryptoCoinMinerArtifacts)
Process seen accessing the SSH authorized keys file in an unusual way,An SSH authorized_keys file was accessed in a method similar to known malware campaigns. This access could signify that an actor is attempting to gain persistent access to a machine.,Unknown,Low,Alerts for containers - Kubernetes clusters,(K8S.NODE_SshKeyAccess)
Role binding to the cluster-admin role detected,Kubernetes audit log analysis detected a new binding to the cluster-admin role which gives administrator privileges. Unnecessary administrator privileges might cause privilege escalation in the cluster.,Persistence,Low,Alerts for containers - Kubernetes clusters,(K8S_ClusterAdminBinding)
Security-related process termination detected,Analysis of processes running within a container or directly on a Kubernetes node  has detected an attempt to terminate processes related to security monitoring on the container. Attackers will often try to terminate such processes using predefined scripts post-compromise.,Persistence,Low,Alerts for containers - Kubernetes clusters,(K8S.NODE_SuspectProcessTermination)
SSH server is running inside a container,Analysis of processes running within a container detected an SSH server running inside the container.,Execution,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_ContainerSSH)
Suspicious file timestamp modification,Analysis of processes running within a container or directly on a Kubernetes node  has detected a suspicious timestamp modification. Attackers will often copy timestamps from existing legitimate files to new tools to avoid detection of these newly dropped files.,Persistence  DefenseEvasion,Low,Alerts for containers - Kubernetes clusters,(K8S.NODE_TimestampTampering)
Suspicious request to Kubernetes API,Analysis of processes running within a container indicates that a suspicious request was made to the Kubernetes API. The request was sent from a container in the cluster. Although this behavior can be intentional  it might indicate that a compromised container is running in the cluster.,LateralMovement,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_KubernetesAPI)
Suspicious request to the Kubernetes Dashboard,Analysis of processes running within a container indicates that a suspicious request was made to the Kubernetes Dashboard. The request was sent from a container in the cluster. Although this behavior can be intentional  it might indicate that a compromised container is running in the cluster.,LateralMovement,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_KubernetesDashboard)
Potential crypto coin miner started,Analysis of processes running within a container or directly on a Kubernetes node  has detected a process being started in a way normally associated with digital currency mining.,Execution,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_CryptoCoinMinerExecution)
Suspicious password access,Analysis of processes running within a container or directly on a Kubernetes node  has detected suspicious attempt to access encrypted user passwords.,Persistence,Informational,Alerts for containers - Kubernetes clusters,(K8S.NODE_SuspectPasswordFileAccess)
Suspicious use of DNS over HTTPS,Analysis of processes running within a container or directly on a Kubernetes node  has detected the use of a DNS call over HTTPS in an uncommon fashion. This technique is used by attackers to hide calls out to suspect or malicious sites.,DefenseEvasion  Exfiltration,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_SuspiciousDNSOverHttps)
A possible connection to malicious location has been detected.,Analysis of processes running within a container or directly on a Kubernetes node  has detected a connection to a location that has been reported to be malicious or unusual. This is an indicator that a compromise may have occurred.,InitialAccess,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_ThreatIntelCommandLineSuspectDomain)
Possible malicious web shell detected.,Analysis of processes running within a container detected a possible web shell. Attackers will often upload a web shell to a compute resource they have compromised to gain persistence or for further exploitation.,Persistence  Exploitation,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_Webshell)
Burst of multiple reconnaissance commands could indicate initial activity after compromise,Analysis of host/device data detected execution of multiple reconnaissance commands related to gathering system or host details performed by attackers after initial compromise.,Discovery  Collection,Low,Alerts for containers - Kubernetes clusters,(K8S.NODE_ReconnaissanceArtifactsBurst)
Suspicious Download Then Run Activity,Analysis of processes running within a container or directly on a Kubernetes node  has detected a file being downloaded then run in the same command. While this isn’t always malicious  this is a very common technique attackers use to get malicious files onto victim machines.,Execution  CommandAndControl  Exploitation,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_DownloadAndRunCombo)
Digital currency mining activity,Analysis of DNS transactions detected digital currency mining activity. Such activity  while possibly legitimate user behavior  is frequently performed by attackers following compromise of resources. Typical related attacker activity is likely to include the download and execution of common mining tools.,Exfiltration,Low,Alerts for containers - Kubernetes clusters,(K8S.NODE_CurrencyMining)
Access to kubelet kubeconfig file detected,Analysis of processes running on a Kubernetes cluster node detected access to kubeconfig file on the host. The kubeconfig file  normally used by the Kubelet process  contains credentials to the Kubernetes cluster API server. Access to this file is often associated with attackers attempting to access those credentials  or with security scanning tools which check if the file is accessible.,CredentialAccess,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_KubeConfigAccess)
Access to cloud metadata service detected,Analysis of processes running within a container detected access to the cloud metadata service for acquiring identity token. The container doesn’t normally perform such operation. While this behavior might be legitimate  attackers might use this technique to access cloud resources after gaining initial access to a running container.,CredentialAccess,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_ImdsCall)
MITRE Caldera agent detected,Analysis of processes running within a container or directly on a Kubernetes node  has detected a suspicious process. This is often associated with the MITRE 54ndc47 agent which could be used maliciously to attack other machines.,Persistence  PrivilegeEscalation  DefenseEvasion  CredentialAccess  Discovery  LateralMovement  Execution  Collection  Exfiltration  Command And Control  Probing  Exploitation,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_MitreCalderaTools)
An attempt to run Linux commands on a Windows App Service,Analysis of App Service processes detected an attempt to run a Linux command on a Windows App Service. This action was running by the web application. This behavior is often seen during campaigns that exploit a vulnerability in a common web application.,-,Medium,Alerts for Azure App Service,(AppServices_LinuxCommandOnWindows)
An IP that connected to your Azure App Service FTP Interface was found in Threat Intelligence,Azure App Service FTP log indicates a connection from a source address that was found in the threat intelligence feed. During this connection  a user accessed the pages listed.,Initial Access,Medium,Alerts for Azure App Service,(AppServices_IncomingTiClientIpFtp)
Attempt to run high privilege command detected,Analysis of App Service processes detected an attempt to run a command that requires high privileges.,-,Medium,Alerts for Azure App Service,(AppServices_HighPrivilegeCommand)
Communication with suspicious domain identified by threat intelligence,Communication with suspicious domain was detected by analyzing DNS transactions from your resource and comparing against known malicious domains identified by threat intelligence feeds. Communication to malicious domains is frequently performed by attackers and could imply that your resource is compromised.,Initial Access  Persistence  Execution  Command And Control  Exploitation,Medium,Alerts for Azure App Service,(AzureDNS_ThreatIntelSuspectDomain)
Connection to web page from anomalous IP address detected,Azure App Service activity log indicates an anomalous connection to a sensitive web page from the listed source IP address. This might indicate that someone is attempting a brute force attack into your web app administration pages. It might also be the result of a new IP address being used by a legitimate user. If the source IP address is trusted  you can safely suppress this alert for this resource. To learn how to suppress security alerts  see Suppress alerts from Microsoft Defender for Cloud.,Initial Access,Low,Alerts for Azure App Service,(AppServices_AnomalousPageAccess)
Dangling DNS record for an App Service resource detected,A DNS record that points to a recently deleted App Service resource (also known as “dangling DNS” entry) has been detected. This leaves you susceptible to a subdomain takeover. Subdomain takeovers enable malicious actors to redirect traffic intended for an organization’s domain to a site performing malicious activity.,-,High,Alerts for Azure App Service,(AppServices_DanglingDomain)
Detected encoded executable in command line data,Analysis of host data on {Compromised host} detected a base-64 encoded executable. This has previously been associated with attackers attempting to construct executables on-the-fly through a sequence of commands  and attempting to evade intrusion detection systems by ensuring that no individual command would trigger an alert. This could be legitimate activity  or an indication of a compromised host.,Defense Evasion  Execution,High,Alerts for Azure App Service,(AppServices_Base64EncodedExecutableInCommandLineParams)
Detected file download from a known malicious source,Analysis of host data has detected the download of a file from a known malware source on your host.,Privilege Escalation  Execution  Exfiltration  Command and Control,Medium,Alerts for Azure App Service,(AppServices_SuspectDownload)
Detected suspicious file download,Analysis of host data has detected suspicious download of remote file.,Persistence,Medium,Alerts for Azure App Service,(AppServices_SuspectDownloadArtifacts)
Digital currency mining related behavior detected,Analysis of host data on Inn-Flow-WebJobs detected the execution of a process or command normally associated with digital currency mining.,Execution,High,Alerts for Azure App Service,(AppServices_DigitalCurrencyMining)
Executable decoded using certutil,Analysis of host data on [Compromised entity] detected that certutil.exe  a built-in administrator utility  was being used to decode an executable instead of its mainstream purpose that relates to manipulating certificates and certificate data. Attackers are known to abuse functionality of legitimate administrator tools to perform malicious actions  for example using a tool such as certutil.exe to decode a malicious executable that will then be subsequently executed.,Defense Evasion  Execution,High,Alerts for Azure App Service,(AppServices_ExecutableDecodedUsingCertutil)
Fileless Attack Behavior Detected,The memory of the process specified below contains behaviors commonly used by fileless attacks.,Execution,Medium,Alerts for Azure App Service,(AppServices_FilelessAttackBehaviorDetection)
Fileless Attack Technique Detected,The memory of the process specified below contains evidence of a fileless attack technique. Fileless attacks are used by attackers to execute code while evading detection by security software.,Execution,High,Alerts for Azure App Service,(AppServices_FilelessAttackTechniqueDetection)
Fileless Attack Toolkit Detected,The memory of the process specified below contains a fileless attack toolkit: {ToolKitName}. Fileless attack toolkits typically do not have a presence on the filesystem  making detection by traditional anti-virus software difficult.,Defense Evasion  Execution,High,Alerts for Azure App Service,(AppServices_FilelessAttackToolkitDetection)
Microsoft Defender for Cloud test alert for App Service (not a threat),This is a test alert generated by Microsoft Defender for Cloud. No further action is needed.,-,High,Alerts for Azure App Service,(AppServices_EICAR)
NMap scanning detected,Azure App Service activity log indicates a possible web fingerprinting activity on your App Service resource.,PreAttack,Medium,Alerts for Azure App Service,(AppServices_Nmap)
Phishing content hosted on Azure Webapps,URL used for phishing attack found on the Azure AppServices website. This URL was part of a phishing attack sent to Microsoft 365 customers. The content typically lures visitors into entering their corporate credentials or financial information into a legitimate looking website.,Collection,High,Alerts for Azure App Service,(AppServices_PhishingContent)
PHP file in upload folder,Azure App Service activity log indicates an access to a suspicious PHP page located in the upload folder.,Execution,Medium,Alerts for Azure App Service,(AppServices_PhpInUploadFolder)
Possible Cryptocoinminer download detected,Analysis of host data has detected the download of a file normally associated with digital currency mining.,Defense Evasion  Command and Control  Exploitation,Medium,Alerts for Azure App Service,(AppServices_CryptoCoinMinerDownload)
Possible data exfiltration detected,Analysis of host/device data detected a possible data egress condition. Attackers will often egress data from machines they have compromised.,Collection  Exfiltration,Medium,Alerts for Azure App Service,(AppServices_DataEgressArtifacts)
Potential dangling DNS record for an App Service resource detected,A DNS record that points to a recently deleted App Service resource (also known as “dangling DNS” entry) has been detected. This might leave you susceptible to a subdomain takeover. Subdomain takeovers enable malicious actors to redirect traffic intended for an organization’s domain to a site performing malicious activity. In this case  a text record with the Domain Verification ID was found. Such text records prevent subdomain takeover but we still recommend removing the dangling domain. If you leave the DNS record pointing at the subdomain you’re at risk if anyone in your organization deletes the TXT file or record in the future.,-,Low,Alerts for Azure App Service,(AppServices_PotentialDanglingDomain)
Potential reverse shell detected,Analysis of host data detected a potential reverse shell. These are used to get a compromised machine to call back into a machine an attacker owns.,Exfiltration  Exploitation,Medium,Alerts for Azure App Service,(AppServices_ReverseShell)
Raw data download detected,Analysis of App Service processes detected an attempt to download code from raw-data websites such as Pastebin. This action was run by a PHP process. This behavior is associated with attempts to download web shells or other malicious components to the App Service.,Execution,Medium,Alerts for Azure App Service,(AppServices_DownloadCodeFromWebsite)
Saving curl output to disk detected,Analysis of App Service processes detected the running of a curl command in which the output was saved to the disk. While this behavior can be legitimate  in web applications this behavior is also observed in malicious activities such as attempts to infect websites with web shells.,-,Low,Alerts for Azure App Service,(AppServices_CurlToDisk)
Spam folder referrer detected,Azure App Service activity log indicates web activity that was identified as originating from a web site associated with spam activity. This can occur if your website is compromised and used for spam activity.,-,Low,Alerts for Azure App Service,(AppServices_SpamReferrer)
Suspicious access to possibly vulnerable web page detected,Azure App Service activity log indicates a web page that seems to be sensitive was accessed. This suspicious activity originated from a source IP address whose access pattern resembles that of a web scanner.,-,Low,Alerts for Azure App Service,(AppServices_ScanSensitivePage)
Suspicious domain name reference,Analysis of host data detected reference to suspicious domain name. Such activity  while possibly legitimate user behavior  is frequently an indication of the download or execution of malicious software. Typical related attacker activity is likely to include the download and execution of further malicious software or remote administration tools.,Exfiltration,Low,Alerts for Azure App Service,(AppServices_CommandlineSuspectDomain)
Suspicious download using Certutil detected,Analysis of host data on {NAME} detected the use of certutil.exe  a built-in administrator utility  for the download of a binary instead of its mainstream purpose that relates to manipulating certificates and certificate data. Attackers are known to abuse functionality of legitimate administrator tools to perform malicious actions  for example using certutil.exe to download and decode a malicious executable that will then be subsequently executed.,Execution,Medium,Alerts for Azure App Service,(AppServices_DownloadUsingCertutil)
Suspicious PHP execution detected,Machine logs indicate that a suspicious PHP process is running. The action included an attempt to run operating system commands or PHP code from the command line  by using the PHP process. While this behavior can be legitimate  in web applications this behavior might indicate malicious activities  such as attempts to infect websites with web shells.,Execution,Medium,Alerts for Azure App Service,(AppServices_SuspectPhp)
Suspicious PowerShell cmdlets executed,Analysis of host data indicates execution of known malicious PowerShell PowerSploit cmdlets.,Execution,Medium,Alerts for Azure App Service,(AppServices_PowerShellPowerSploitScriptExecution)
Suspicious process executed,Machine logs indicate that the suspicious process: ‘%{process path}’ was running on the machine  often associated with attacker attempts to access credentials.,Credential Access,High,Alerts for Azure App Service,(AppServices_KnownCredential AccessTools)
Suspicious process name detected,Analysis of host data on {NAME} detected a process whose name is suspicious  for example corresponding to a known attacker tool or named in a way that is suggestive of attacker tools that try to hide in plain sight. This process could be legitimate activity  or an indication that one of your machines has been compromised.,Persistence  Defense Evasion,Medium,Alerts for Azure App Service,(AppServices_ProcessWithKnownSuspiciousExtension)
Suspicious SVCHOST process executed,The system process SVCHOST was observed running in an abnormal context. Malware often use SVCHOST to mask its malicious activity.,Defense Evasion  Execution,High,Alerts for Azure App Service,(AppServices_SVCHostFromInvalidPath)
Suspicious User Agent detected,Azure App Service activity log indicates requests with suspicious user agent. This behavior can indicate on attempts to exploit a vulnerability in your App Service application.,Initial Access,Medium,Alerts for Azure App Service,(AppServices_UserAgentInjection)
Suspicious WordPress theme invocation detected,Azure App Service activity log indicates a possible code injection activity on your App Service resource.,Execution,High,Alerts for Azure App Service,(AppServices_WpThemeInjection)
Vulnerability scanner detected,Azure App Service activity log indicates that a possible vulnerability scanner was used on your App Service resource.,PreAttack,Low,Alerts for Azure App Service,(AppServices_DrupalScanner)
Vulnerability scanner detected,Azure App Service activity log indicates that a possible vulnerability scanner was used on your App Service resource.,PreAttack,Low,Alerts for Azure App Service,(AppServices_JoomlaScanner)
Vulnerability scanner detected,Azure App Service activity log indicates that a possible vulnerability scanner was used on your App Service resource.,PreAttack,Low,Alerts for Azure App Service,(AppServices_WpScanner)
Web fingerprinting detected,Azure App Service activity log indicates a possible web fingerprinting activity on your App Service resource.,PreAttack,Medium,Alerts for Azure App Service,(AppServices_WebFingerprinting)
Website is tagged as malicious in threat intelligence feed,Your website as described below is marked as a malicious site by Windows SmartScreen. If you think this is a false positive  contact Windows SmartScreen via report feedback link provided.,Collection,Medium,Alerts for Azure App Service,(AppServices_SmartScreen)
a history file has been cleared,Analysis of host data indicates that the command history log file has been cleared. Attackers may do this to cover their traces. The operation was performed by user: ‘%{user name}’.,-,Medium,Alerts for Linux machines,
Antimalware broad files exclusion in your virtual machine,Files exclusion from antimalware extension with broad exclusion rule was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription. Such exclusion practically disabling the Antimalware protection.,-,Medium,Alerts for Linux machines,(VM_AmBroadFilesExclusion)
Antimalware disabled and code execution in your virtual machine,Antimalware disabled at the same time as code execution on your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.,-,High,Alerts for Linux machines,(VM_AmDisablementAndCodeExecution)
Antimalware disabled in your virtual machine,Antimalware disabled in your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.,Defense Evasion,Medium,Alerts for Linux machines,(VM_AmDisablement)
Antimalware file exclusion and code execution in your virtual machine,File excluded from your antimalware scanner at the same time as code was executed via a custom script extension on your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.,Defense Evasion  Execution,High,Alerts for Linux machines,(VM_AmFileExclusionAndCodeExecution)
Antimalware file exclusion and code execution in your virtual machine,Temporary file exclusion from antimalware extension in parallel to execution of code via custom script extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Defense Evasion  Execution,High,Alerts for Linux machines,(VM_AmTempFileExclusionAndCodeExecution)
Antimalware file exclusion in your virtual machine,File excluded from your antimalware scanner on your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.,Defense Evasion,Medium,Alerts for Linux machines,(VM_AmTempFileExclusion)
Antimalware real-time protection was disabled in your virtual machine,Real-time protection disablement of the antimalware extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Defense Evasion,Medium,Alerts for Linux machines,(VM_AmRealtimeProtectionDisabled)
Antimalware real-time protection was disabled temporarily in your virtual machine,Real-time protection temporary disablement of the antimalware extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Defense Evasion,Medium,Alerts for Linux machines,(VM_AmTempRealtimeProtectionDisablement)
Antimalware real-time protection was disabled temporarily while code was executed in your virtual machine,Real-time protection temporary disablement of the antimalware extension in parallel to code execution via custom script extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,-,High,Alerts for Linux machines,(VM_AmRealtimeProtectionDisablementAndCodeExec)
Antimalware scans blocked for files potentially related to malware campaigns on your virtual machine (Preview),An exclusion rule was detected in your virtual machine to prevent your antimalware extension scanning certain files that are suspected of being related to a malware campaign. The rule was detected by analyzing the Azure Resource Manager operations in your subscription. Attackers might exclude files from antimalware scans to prevent detection while running arbitrary code or infecting the machine with malware.,Defense Evasion,Medium,Alerts for Linux machines,(VM_AmMalwareCampaignRelatedExclusion)
Antimalware temporarily disabled in your virtual machine,Antimalware temporarily disabled in your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.,-,Medium,Alerts for Linux machines,(VM_AmTemporarilyDisablement)
Antimalware unusual file exclusion in your virtual machine,Unusual file exclusion from antimalware extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Defense Evasion,Medium,Alerts for Linux machines,(VM_UnusualAmFileExclusion)
Behavior similar to ransomware detected [seen multiple times],Analysis of host data on %{Compromised Host} detected the execution of files that have resemblance of known ransomware that can prevent users from accessing their system or personal files  and demands ransom payment in order to regain access. This behavior was seen [x] times today on the following machines: [Machine names],-,High,Alerts for Linux machines,
Communication with suspicious domain identified by threat intelligence,Communication with suspicious domain was detected by analyzing DNS transactions from your resource and comparing against known malicious domains identified by threat intelligence feeds. Communication to malicious domains is frequently performed by attackers and could imply that your resource is compromised.,Initial Access  Persistence  Execution  Command And Control  Exploitation,Medium,Alerts for Linux machines,(AzureDNS_ThreatIntelSuspectDomain)
Container with a miner image detected,Machine logs indicate execution of a Docker container that runs an image associated with a digital currency mining.,Execution,High,Alerts for Linux machines,(VM_MinerInContainerImage)
Custom script extension with suspicious command in your virtual machine,Custom script extension with suspicious command was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.,Execution,Medium,Alerts for Linux machines,(VM_CustomScriptExtensionSuspiciousCmd)
Custom script extension with suspicious entry-point in your virtual machine,Custom script extension with a suspicious entry-point was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription. The entry-point refers to a suspicious GitHub repository.,Execution,Medium,Alerts for Linux machines,(VM_CustomScriptExtensionSuspiciousEntryPoint)
